Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments
GROSVENOR LODGE,Cultural facilities,1017 WESTERN RD,LONDON,N6G 1G5,"9,220.00",Square feet,70,,"54,895.19441",kWh,"12,839.00071",Cubic Meter,,,,,,,,,,,,,,,,,,,"26,470.17302",20.75328,0.00000,
HAMILTON RD SENIORS CENTRE,Community centres,898 TRAFALGAR ST,LONDON,N5Z 1G2,"8,622.00",Square feet,126,,"86,758.44982",kWh,"21,519.01276",Cubic Meter,,,,,,,,,,,,,,,,,,,"44,155.71886",36.58753,0.00000,
HAMLYN PARK-EQUIPMENT BLDG,Other,101 DENNIS AVE,LONDON,N6P 1B5,"1,266.00",Square feet,168,,"1,704.04207",kWh,,,,,,,,,,,,,,,,,,,,,68.18043,1.34600,0.00000,
HARRIS PARK,Other,531 RIDOUT ST N,LONDON,N6A 2P9,800.00,Square feet,168,,"26,250.15483",kWh,,,,,,,,,,,,,,,,,,,,,"1,050.29494",32.81269,0.00000,
HAZELDON PUMP STN,Facilities related to the treatment of sewage,32 1/2 HAMPTON CRES,LONDON,N6H 2N8,0.00,Square feet,168,51.85000,"10,972.76220",kWh,,,,,,,,,,,,,,,,,,,,,439.03119,0.00000,211.62511,
HUNT CLUB PUMP STN,Facilities related to the pumping of sewage,104 FITZWILLIAM BLVD,LONDON,N6H 5H4,0.00,Square feet,168,708.69000,"79,510.61045",kWh,,,,,,,,,,,,,,,,,,,,,"3,181.29903",0.00000,112.19378,
HURON PUMP STN,Facilities related to the pumping of sewage,1099 WILLIAM ST,LONDON,N5Y 2V4,0.00,Square feet,168,139.89000,"25,986.97833",kWh,,,,,,,,,,,,,,,,,,,,,"1,039.76499",0.00000,185.76723,
HYDE PARK PUMP STN,Facilities related to the pumping of sewage,1439 STAFFORDSHIRE RD,LONDON,N6H 5P8,0.00,Square feet,168,689.03000,"83,994.04459",kWh,65.18600,Cubic Meter,,,,,,,,,,,,,,,,,,,"3,483.92813",0.00000,122.90731,
HYDE PARK PUMP STN,Facilities related to the pumping of water,1439 STAFFORDSHIRE RD,LONDON,N6H 5P8,0.00,Square feet,168,1985.60000,"181,499.91758",kWh,,,,,,,,,,,,,,,,,,,,,"7,261.99320",0.00000,91.40810,
IVEY PARK-PAVILLION,Other,331 THAMES ST,LONDON,N6A 5N8,"1,350.00",Square feet,168,,"10,141.27637",kWh,,,,,,,,,,,,,,,,,,,,,405.76261,7.51206,0.00000,
